season,episode,title,airdate,rating,voteCount,description
8,19,Grade School Confidential,6 Apr. 1997,8.2,1758,"Bart discovers Principal Skinner and Mrs Krabappel kissing, and it's not long before the whole town knows of their secret affair."
8,20,The Canine Mutiny,13 Apr. 1997,7.7,1585,"After he fraudulently obtains a credit card, Bart buys a new dog named Laddie. When the items he purchased are repossessed, he lies that Santa's Little Helper is the dog he bought, and soon misses his pet."
8,21,The Old Man and the Lisa,20 Apr. 1997,7.9,1668,Burns loses his fortune and recruits Lisa to help him get it back.
8,22,In Marge We Trust,27 Apr. 1997,8.1,1713,Marge becomes a church counselor; Homer discovers his face on a Japanese detergent logo.
8,23,Homer's Enemy,4 May 1997,9.3,3945,Industrious Frank Grimes starts working at the plant and becomes irritated by Homer's laziness; Bart buys a run-down factory for a dollar.
8,24,The Simpsons Spin-Off Showcase,11 May 1997,7.2,1709,"Troy McClure presents three spinoffs: ""Chief Wiggins, P.I.,"" ""The Love-Matic Grandpa,"" and ""The Simpson Family Smile-Time Variety Hour."""
8,25,The Secret War of Lisa Simpson,18 May 1997,7.9,1653,"After a prank destroys half the town, Bart is shipped away to military school. Lisa, seeking a challenge, decides to enroll with him, but is faced with discrimination as the school's only girl cadet."
9,1,The City of New York vs. Homer Simpson,21 Sep. 1997,9.1,3082,"Homer must travel to New York to get his car back, which is illegally parked at World Trade Center Plaza."
9,2,The Principal and the Pauper,28 Sep. 1997,6.9,2043,"At his 20th anniversary celebration as school principal, Principal Skinner is discovered to be an imposter of the real Seymour Skinner."
9,3,Lisa's Sax,19 Oct. 1997,8.1,1664,"Homer recounts the story of Bart's first day of school, which corresponds with the story of how Lisa got her saxophone."
9,4,Treehouse of Horror VIII,26 Oct. 1997,8.2,1778,Homer battles mutants after Springfield is annihilated by a neutron bomb; Bart has his DNA mixed with a fly; Marge is revealed to be a witch in colonial Springfield.
9,5,The Cartridge Family,2 Nov. 1997,8.2,1819,"After a massive soccer riot, Homer purchases a gun to protect the family."
9,6,Bart Star,9 Nov. 1997,7.7,1549,"A damning report on childhood obesity in Springfield leads to the formation of a pee-wee football team. After belittling Ned Flanders, Homer ends up coaching the team, but his favoring of Bart makes him unpopular."
9,7,The Two Mrs. Nahasapeemapetilons,16 Nov. 1997,7.7,1507,"Apu receives a letter from his mother stating that it's time for him fulfilled his arranged marriage obligation, he pretends Marge is his wife."
9,8,Lisa the Skeptic,23 Nov. 1997,8.1,1659,Townspeople believe Lisa has unearthed the fossiled remains of a angel.
9,9,Realty Bites,7 Dec. 1997,7.6,1507,Marge becomes a real-estate agent.
9,10,Miracle on Evergreen Terrace,21 Dec. 1997,7.6,1660,"When Bart accidentally burns down the family's Christmas tree and gifts, he claims that a robber stole everything. As a result, the town gets them a new tree and pitches in to raise funds."
9,11,"All Singing, All Dancing",4 Jan. 1998,5.0,1821,"Homer is disappointed when the western he rented turns out to be a musical, so the family reminds him of the musical moments in the show's history."
9,12,Bart Carny,11 Jan. 1998,7.7,1570,"Bart and Homer befriend two carnies and invite them to stay with them, but the carnies soon swindle the Simpsons out of their house."
9,13,The Joy of Sect,8 Feb. 1998,8.3,1759,An evil cult called the Movementarians brainwashes the citizens of Springfield and it's up to Marge to get them back.
9,14,Das Bus,15 Feb. 1998,8.2,1720,"While the kids become stranded on a desert island, Homer attempts to cash in on the Internet."
9,15,The Last Temptation of Krust,22 Feb. 1998,7.5,1475,"After a disastrous performance, Krusty changes his image and becomes an edgy stand-up."
9,16,Dumbbell Indemnity,1 Mar. 1998,7.7,1480,"Homer and Moe attempt insurance fraud so that Moe can support his new girlfriend. When Homer ends up in jail, Moe has to decide whether or not to come forward."
9,17,Lisa the Simpson,8 Mar. 1998,8.0,1665,"Lisa fears she is losing her intelligence when she learns about the fabled Simpson gene. Meanwhile, Jasper freezes himself in the Kwik-E-Mart freezer."
9,18,This Little Wiggy,22 Mar. 1998,7.9,1541,"Bart is reluctant to hang out with Ralph Wiggum, until he gains access to Chief Wiggum's master key to the city."
9,19,Simpson Tide,29 Mar. 1998,8.2,1643,Homer causes an international incident after he joins the Naval reserves.
9,20,The Trouble with Trillions,5 Apr. 1998,7.8,1549,"Homer is forced to spy for the IRS after an audit. But when he is asked to retrieve a trillion dollar bill from Mr. Burns, he switches sides and the two flee to Cuba for refuge."
9,21,Girly Edition,19 Apr. 1998,7.9,1516,"Bart and Lisa become locked in competition when they anchor a children's news program. Meanwhile, Homer adopts a helper monkey."
9,22,Trash of the Titans,26 Apr. 1998,8.4,1837,Homer becomes the sanitation commissioner for Springfield. His ineptitude pollutes the town and leads to a drastic solution.
9,23,King of the Hill,3 May 1998,8.2,1620,"After humiliating Bart at a church picnic, Homer resolves to get in shape. Soon, he is contacted by an energy bar company that wants him to climb a mountain as a promotion."
9,24,Lost Our Lisa,10 May 1998,7.8,1453,Lisa gets lost after she tries to take a bus to a museum.
9,25,Natural Born Kissers,17 May 1998,8.0,1578,Homer and Marge's attempt to spice up their marriage leads to the couple being chased naked through Springfield.
10,1,Lard of the Dance,23 Aug. 1998,7.6,1592,Homer and Bart try to start their own grease business; Lisa organizes a school dance.
10,2,The Wizard of Evergreen Terrace,20 Sep. 1998,8.2,1671,Homer's midlife crisis leads to a disastrous attempt at being an inventor.
10,3,Bart the Mother,27 Sep. 1998,7.6,1515,"When Bart accidentally kills a mother bird, he tries to make amends by raising the eggs."
10,4,Treehouse of Horror IX,25 Oct. 1998,8.0,1739,Homer receives an evil hair transplant; Bart and Lisa get trapped in an Itchy and Scratchy cartoon; Maggie is revealed to be an alien.
10,5,When You Dish Upon a Star,8 Nov. 1998,7.3,1528,Homer becomes a Hollywood insider when he befriends Alec Baldwin and Kim Basinger.
10,6,D'oh-in' in the Wind,15 Nov. 1998,7.6,1493,Homer becomes a hippie after a revelation about his middle name.
10,7,Lisa Gets an 'A',22 Nov. 1998,8.1,1559,"When Lisa cheats on a test, she has a moral crisis when her perfect score qualifies the school for grant money; Homer adopts a lobster as a pet."
10,8,Homer Simpson in: 'Kidney Trouble',6 Dec. 1998,7.3,1456,Homer gets cold feet before a transplant operation which could save Grampa's life.
10,9,Mayored to the Mob,20 Dec. 1998,8.2,1646,Homer deals with corruption when he becomes Mayor Quimby's bodyguard.
10,10,Viva Ned Flanders,10 Jan. 1999,7.9,1563,"When Homer takes Ned to Las Vegas in an attempt to get him to loosen up, the two end up drunkenly marrying a pair of cocktail waitresses."
10,11,Wild Barts Can't Be Broken,17 Jan. 1999,7.8,1471,The children of Springfield revolt after a curfew is enforced.
10,12,"Sunday, Cruddy Sunday",31 Jan. 1999,7.0,1444,"Homer and his friends head to the Super Bowl, but are forced to sneak in when they discover their tickets are counterfeit."
10,13,Homer to the Max,7 Feb. 1999,7.8,1513,Homer changes his name when a dimwitted TV character named Homer Simpson becomes an overnight sensation.
10,14,I'm with Cupid,14 Feb. 1999,7.3,1379,The husbands of Springfield plot revenge after Apu outshines them on Valentine's Day.
10,15,Marge Simpson in 'Screaming Yellow Honkers',21 Feb. 1999,7.3,1397,Marge's new SUV gives her a potent case of road rage.
10,16,Make Room for Lisa,28 Feb. 1999,7.6,1373,"Lisa feels that her relationship with her father will never be close, and she develops stress-induced stomach pains; Marge inadvertently knocks out Milhouse."
10,17,Maximum Homerdrive,28 Mar. 1999,7.7,1455,"Homer completes a cross country delivery for a trucker who dies before completing it, and takes Bart along for the ride. Meanwhile, Marge and Lisa experience problems with a novelty doorbell they purchase."
10,18,Simpsons Bible Stories,4 Apr. 1999,7.4,1453,Three famous religious stories are retold Simpsons style as the family nods off at church.
10,19,Mom and Pop Art,11 Apr. 1999,7.6,1462,Homer becomes the talk of the Springfield art community when a failed barbecue pit he worked on is mistaken for an art project.
10,20,The Old Man and the 'C' Student,25 Apr. 1999,7.3,1319,Bart is punished with community service at the Retirement Castle after he ruins Springfield's chances of hosting the Olympics.
10,21,Monty Can't Buy Me Love,2 May 1999,7.1,1323,"When a wealthy man moves to Springfield, Mr. Burns begins to feel that he is losing his grasp on the citizens and decides to enlist the help of Homer."
10,22,They Saved Lisa's Brain,9 May 1999,7.3,1353,"Lisa is invited to join the Springfield chapter of MENSA and after Mayor Quimby flees, the group ends up running the city. Meanwhile, Homer poses for a series of erotic photos."
10,23,Thirty Minutes Over Tokyo,16 May 1999,8.0,1630,The Simpsons must perform on a Japanese game show after Homer loses their money on a vacation.

